Date,Actual,Forecast,Lower,Upper
2009-12-01,683504.01,615668.1613020238,,
2010-01-01,555802.672,699910.305029146,,
2010-02-01,504558.956,593731.5751740368,,
2010-03-01,696978.471,536909.273944603,,
2010-04-01,591982.002,704018.5793532858,,
2010-05-01,597833.38,626654.127666752,,
2010-06-01,636371.13,624055.0372720637,,
2010-07-01,589736.17,658415.3901239234,,
2010-08-01,602224.6,620005.4076786841,,
2010-09-01,829013.951,627325.1645148341,,
2010-10-01,1033112.01,831827.6396155868,,
2010-11-01,1166460.022,1035966.7665889591,,
2010-12-01,570422.73,1176503.53200235,,
2011-01-01,568101.31,655264.4582736316,,
2011-02-01,446084.92,600247.568567945,,
2011-03-01,594081.76,485034.8980264871,,
2011-04-01,468374.331,606303.1257132954,,
2011-05-01,677355.15,505675.78050205304,,
2011-06-01,660046.05,683216.25916945,,
2011-07-01,598962.901,685693.901817449,,
2011-08-01,644051.04,631065.2755084569,,
2011-09-01,950690.202,666027.2957539078,,
2011-10-01,1035642.45,945077.9675759678,,
2011-11-01,1156205.61,1049740.6793440473,,
2011-12-01,,1168689.1677635158,823684.9108256802,1513693.4247013514
2012-01-01,,1191984.1124355057,846979.8554976701,1536988.3693733413
2012-02-01,,1215279.0571074954,870274.8001696598,1560283.314045331
2012-03-01,,1238574.0017794853,893569.7448416497,1583578.2587173209
2012-04-01,,1261868.9464514751,916864.6895136395,1606873.2033893107
2012-05-01,,1285163.891123465,940159.6341856294,1630168.1480613006
